NVDA
  2021-01: mean_close=13.165884, n=19
  2023-06: mean_close=96.897000, n=21
  2023-07: mean_close=96.067500, n=20
  2023-08: mean_close=88.758783, n=23
  2023-09: mean_close=83.972280, n=20
  2023-10: mean_close=84.527118, n=22
  2023-11: mean_close=91.244586, n=21
  2023-12: mean_close=97.055255, n=20
  2024-01: mean_close=103.195900, n=20
  2024-02: mean_close=122.022400, n=20
  2024-03: mean_close=135.209685, n=20
  2024-04: mean_close=134.974336, n=22
  2024-05: mean_close=145.597518, n=22
  2024-06: mean_close=165.499847, n=19
  2024-07: mean_close=170.804595, n=21
  2024-08: mean_close=163.059682, n=22
  2024-09: mean_close=167.528490, n=20
  2024-10: mean_close=187.502009, n=22
  2024-11: mean_close=187.284600, n=20
  2024-12: mean_close=196.696448, n=21
  2025-01: mean_close=208.264516, n=19
  2025-02: mean_close=197.397147, n=19
  2025-03: mean_close=172.430771, n=21
  2025-04: mean_close=154.890284, n=19
  2025-05: mean_close=185.825171, n=21
  2025-06: mean_close=210.866500, n=20
  2025-07: mean_close=235.094236, n=22
  2025-08: mean_close=235.641552, n=21
  2025-09: mean_close=259.674833, n=21
  2025-10: mean_close=295.755500, n=22
  2025-11: mean_close=286.604184, n=19
  2025-12: mean_close=295.062000, n=22
  2026-01: mean_close=330.136000, n=20
  2026-02: mean_close=361.084211, n=19

GOOGL
  2021-01: mean_close=88.579789, n=19
  2021-02: mean_close=101.472250, n=18
  2021-03: mean_close=100.953717, n=23
  2021-04: mean_close=112.219690, n=21
  2021-05: mean_close=113.997900, n=20
  2021-06: mean_close=119.616136, n=22
  2021-07: mean_close=127.130167, n=21
  2021-08: mean_close=136.941114, n=22
  2021-09: mean_close=139.748357, n=21
  2021-10: mean_close=138.682833, n=21
  2021-11: mean_close=145.326643, n=21
  2021-12: mean_close=143.721205, n=22
  2022-01: mean_close=134.531950, n=20
  2022-02: mean_close=134.655833, n=18
  2022-03: mean_close=133.547957, n=23
  2022-04: mean_close=126.641250, n=20
  2022-05: mean_close=111.764119, n=21
  2022-06: mean_close=110.999524, n=21
  2022-07: mean_close=111.199184, n=19
  2022-08: mean_close=114.828696, n=23
  2022-09: mean_close=101.850500, n=20
  2022-10: mean_close=97.646000, n=20
  2022-11: mean_close=92.104737, n=19
  2022-12: mean_close=90.885238, n=21
  2023-01: mean_close=91.610500, n=20
  2023-02: mean_close=94.147059, n=17
  2023-03: mean_close=96.630000, n=23
  2023-04: mean_close=104.281053, n=19
  2023-05: mean_close=114.694091, n=22
  2023-06: mean_close=121.100000, n=21
  2023-07: mean_close=121.624500, n=20
  2023-08: mean_close=129.119130, n=23
  2023-09: mean_close=132.873500, n=20
  2023-10: mean_close=133.154762, n=21
  2023-11: mean_close=131.952381, n=21
  2023-12: mean_close=134.144500, n=20
  2024-01: mean_close=142.599250, n=20
  2024-02: mean_close=141.404000, n=20
  2024-03: mean_close=141.015000, n=20
  2024-04: mean_close=155.053810, n=21
  2024-05: mean_close=170.565000, n=22
  2024-06: mean_close=176.500526, n=19
  2024-07: mean_close=179.362273, n=22
  2024-08: mean_close=162.345000, n=22
  2024-09: mean_close=157.116500, n=20
  2024-10: mean_close=164.369565, n=23
  2024-11: mean_close=172.547000, n=20
  2024-12: mean_close=185.899048, n=21
  2025-01: mean_close=194.506000, n=20
  2025-02: mean_close=183.101111, n=18
  2025-03: mean_close=164.683333, n=21
  2025-04: mean_close=153.720500, n=20
  2025-05: mean_close=164.399500, n=20
  2025-06: mean_close=172.086500, n=20
  2025-07: mean_close=184.513636, n=22
  2025-08: mean_close=201.670476, n=21
  2025-09: mean_close=242.884500, n=20
  2025-10: mean_close=253.960435, n=23
  2025-11: mean_close=291.292222, n=18
  2025-12: mean_close=312.462273, n=22
  2026-01: mean_close=328.869500, n=20
  2026-02: mean_close=316.670526, n=19

AMZN
  2021-01: mean_close=160.002421, n=19
  2021-02: mean_close=163.193421, n=19
  2021-03: mean_close=153.413630, n=23
  2021-04: mean_close=167.608714, n=21
  2021-05: mean_close=162.313000, n=20
  2021-06: mean_close=168.386273, n=22
  2021-07: mean_close=181.521350, n=20
  2021-08: mean_close=165.645886, n=22
  2021-09: mean_close=171.359143, n=21
  2021-10: mean_close=166.710310, n=21
  2021-11: mean_close=175.880929, n=21
  2021-12: mean_close=170.862477, n=22
  2022-01: mean_close=155.480850, n=20
  2022-02: mean_close=154.435735, n=17
  2022-03: mean_close=154.280478, n=23
  2022-04: mean_close=152.731184, n=19
  2022-05: mean_close=112.548132, n=19
  2022-06: mean_close=112.863095, n=21
  2022-07: mean_close=116.094737, n=19
  2022-08: mean_close=137.439565, n=23
  2022-09: mean_close=123.033500, n=20
  2022-10: mean_close=115.013000, n=20
  2022-11: mean_close=93.814000, n=20
  2022-12: mean_close=87.937143, n=21
  2023-01: mean_close=94.223500, n=20
  2023-02: mean_close=98.162941, n=17
  2023-03: mean_close=96.546957, n=23
  2023-04: mean_close=103.341579, n=19
  2023-05: mean_close=111.939545, n=22
  2023-06: mean_close=126.380476, n=21
  2023-07: mean_close=130.818000, n=20
  2023-08: mean_close=135.317273, n=22
  2023-09: mean_close=135.440000, n=20
  2023-10: mean_close=128.304286, n=21
  2023-11: mean_close=143.457619, n=21
  2023-12: mean_close=149.824000, n=20
  2024-01: mean_close=153.615238, n=21
  2024-02: mean_close=170.961053, n=19
  2024-03: mean_close=176.822250, n=20
  2024-04: mean_close=181.173182, n=22
  2024-05: mean_close=184.176364, n=22
  2024-06: mean_close=186.084211, n=19
  2024-07: mean_close=190.333182, n=22
  2024-08: mean_close=172.606190, n=21
  2024-09: mean_close=184.866000, n=20
  2024-10: mean_close=186.834783, n=23
  2024-11: mean_close=204.505000, n=20
  2024-12: mean_close=224.100952, n=21
  2025-01: mean_close=228.016000, n=20
  2025-02: mean_close=225.848947, n=19
  2025-03: mean_close=198.509048, n=21
  2025-04: mean_close=180.841053, n=19
  2025-05: mean_close=199.733000, n=20
  2025-06: mean_close=213.018500, n=20
  2025-07: mean_close=226.295909, n=22
  2025-08: mean_close=225.167000, n=20
  2025-09: mean_close=228.089524, n=21
  2025-10: mean_close=221.147273, n=22
  2025-11: mean_close=236.274211, n=19
  2025-12: mean_close=229.261364, n=22
  2026-01: mean_close=239.084500, n=20
  2026-02: mean_close=212.054211, n=19

AAPL
  2021-01: mean_close=127.781842, n=19
  2021-02: mean_close=126.438421, n=19
  2021-03: mean_close=116.551818, n=22
  2021-04: mean_close=126.762857, n=21
  2021-05: mean_close=121.910000, n=20
  2021-06: mean_close=125.128636, n=22
  2021-07: mean_close=140.309524, n=21
  2021-08: mean_close=143.527727, n=22
  2021-09: mean_close=143.696190, n=21
  2021-10: mean_close=140.953810, n=21
  2021-11: mean_close=149.823810, n=21
  2021-12: mean_close=169.162727, n=22
  2022-01: mean_close=165.446842, n=19
  2022-02: mean_close=165.625263, n=19
  2022-03: mean_close=161.140435, n=23
  2022-04: mean_close=162.651000, n=20
  2022-05: mean_close=144.518889, n=18
  2022-06: mean_close=135.858571, n=21
  2022-07: mean_close=145.730500, n=20
  2022-08: mean_close=163.135217, n=23
  2022-09: mean_close=149.251000, n=20
  2022-10: mean_close=140.767000, n=20
  2022-11: mean_close=142.277500, n=20
  2022-12: mean_close=134.396667, n=21
  2023-01: mean_close=132.299000, n=20
  2023-02: mean_close=147.633684, n=19
  2023-03: mean_close=151.714783, n=23
  2023-04: mean_close=161.795789, n=19
  2023-05: mean_close=169.514545, n=22
  2023-06: mean_close=181.273333, n=21
  2023-07: mean_close=189.401500, n=20
  2023-08: mean_close=178.230435, n=23
  2023-09: mean_close=174.232500, n=20
  2023-10: mean_close=171.898636, n=22
  2023-11: mean_close=183.269524, n=21
  2023-12: mean_close=191.778500, n=20
  2024-01: mean_close=185.194286, n=21
  2024-02: mean_close=182.413500, n=20
  2024-03: mean_close=170.406000, n=20
  2024-04: mean_close=167.314545, n=22
  2024-05: mean_close=184.312857, n=21
  2024-06: mean_close=204.173889, n=18
  2024-07: mean_close=222.558636, n=22
  2024-08: mean_close=219.768636, n=22
  2024-09: mean_close=221.968000, n=20
  2024-10: mean_close=228.266087, n=23
  2024-11: mean_close=226.383000, n=20
  2024-12: mean_close=248.032857, n=21
  2025-01: mean_close=233.297000, n=20
  2025-02: mean_close=237.407895, n=19
  2025-03: mean_close=221.662857, n=21
  2025-04: mean_close=200.873333, n=18
  2025-05: mean_close=202.734000, n=20
  2025-06: mean_close=199.877000, n=20
  2025-07: mean_close=210.500909, n=22
  2025-08: mean_close=224.052857, n=21
  2025-09: mean_close=241.966190, n=21
  2025-10: mean_close=257.775217, n=23
  2025-11: mean_close=271.327895, n=19
  2025-12: mean_close=276.046364, n=22
  2026-01: mean_close=257.389500, n=20
  2026-02: mean_close=269.110000, n=19

ASML
  2021-01: mean_close=501.804653, n=19
  2021-02: mean_close=544.617811, n=19
  2021-03: mean_close=530.966209, n=23
  2021-04: mean_close=615.531695, n=21
  2021-05: mean_close=617.254500, n=20
  2021-06: mean_close=661.542455, n=22
  2021-07: mean_close=686.886524, n=21
  2021-08: mean_close=768.914727, n=22
  2021-09: mean_close=821.179381, n=21
  2021-10: mean_close=740.184143, n=21
  2021-11: mean_close=807.526714, n=21
  2021-12: mean_close=758.788064, n=22
  2022-01: mean_close=688.696700, n=20
  2022-02: mean_close=629.889858, n=19
  2022-03: mean_close=619.066700, n=21
  2022-04: mean_close=585.786700, n=20
  2022-05: mean_close=527.344510, n=21
  2022-06: mean_close=495.556971, n=21
  2022-07: mean_close=467.273900, n=20
  2022-08: mean_close=528.227270, n=23
  2022-09: mean_close=440.034267, n=21
  2022-10: mean_close=420.628552, n=21
  2022-11: mean_close=528.668970, n=20
  2022-12: mean_close=562.609281, n=21
  2023-01: mean_close=619.427400, n=20
  2023-02: mean_close=638.178584, n=19
  2023-03: mean_close=615.477378, n=23
  2023-04: mean_close=626.986532, n=19
  2023-05: mean_close=654.218909, n=22
  2023-06: mean_close=704.833476, n=21
  2023-07: mean_close=697.924000, n=20
  2023-08: mean_close=652.957335, n=23
  2023-09: mean_close=594.675400, n=20
  2023-10: mean_close=577.752809, n=22
  2023-11: mean_close=650.895262, n=21
  2023-12: mean_close=716.502500, n=20
  2024-01: mean_close=748.008000, n=20
  2024-02: mean_close=911.437250, n=20
  2024-03: mean_close=965.104500, n=20
  2024-04: mean_close=925.684964, n=22
  2024-05: mean_close=915.327400, n=22
  2024-06: mean_close=1018.076844, n=18
  2024-07: mean_close=978.983725, n=20
  2024-08: mean_close=878.317605, n=21
  2024-09: mean_close=795.988200, n=20
  2024-10: mean_close=754.876668, n=22
  2024-11: mean_close=664.109800, n=20
  2024-12: mean_close=705.438514, n=21
  2025-01: mean_close=726.648800, n=20
  2025-02: mean_close=732.111489, n=19
  2025-03: mean_close=703.677643, n=21
  2025-04: mean_close=644.026550, n=20
  2025-05: mean_close=724.735833, n=21
  2025-06: mean_close=769.258500, n=20
  2025-07: mean_close=753.533348, n=21
  2025-08: mean_close=732.315576, n=21
  2025-09: mean_close=862.894148, n=21
  2025-10: mean_close=1019.111991, n=23
  2025-11: mean_close=1020.235384, n=19
  2025-12: mean_close=1081.929359, n=22
  2026-01: mean_close=1330.566416, n=19
  2026-02: mean_close=1434.934095, n=19

META
  2022-06: mean_close=161.146000, n=15
  2022-07: mean_close=163.259500, n=20
  2022-08: mean_close=164.455652, n=23
  2022-09: mean_close=145.701000, n=20
  2022-10: mean_close=125.314500, n=20
  2022-11: mean_close=102.022000, n=20
  2022-12: mean_close=113.864762, n=21
  2023-01: mean_close=133.149500, n=20
  2023-02: mean_close=171.696111, n=18
  2023-03: mean_close=189.843913, n=23
  2023-04: mean_close=211.915556, n=18
  2023-05: mean_close=239.262273, n=22
  2023-06: mean_close=272.962381, n=21
  2023-07: mean_close=299.041000, n=20
  2023-08: mean_close=295.757826, n=23
  2023-09: mean_close=297.018500, n=20
  2023-10: mean_close=306.768636, n=22
  2023-11: mean_close=324.385238, n=21
  2023-12: mean_close=334.846500, n=20
  2024-01: mean_close=369.813333, n=21
  2024-02: mean_close=466.038947, n=19
  2024-03: mean_close=494.108000, n=20
  2024-04: mean_close=490.647619, n=21
  2024-05: mean_close=464.169091, n=22
  2024-06: mean_close=497.317895, n=19
  2024-07: mean_close=489.191364, n=22
  2024-08: mean_close=513.062273, n=22
  2024-09: mean_close=534.422250, n=20
  2024-10: mean_close=578.684348, n=23
  2024-11: mean_close=568.300000, n=20
  2024-12: mean_close=606.179524, n=21
  2025-01: mean_close=629.554500, n=20
  2025-02: mean_close=697.117895, n=19
  2025-03: mean_close=607.342857, n=21
  2025-04: mean_close=529.310263, n=19
  2025-05: mean_close=624.008810, n=21
  2025-06: mean_close=697.165000, n=20
  2025-07: mean_close=712.280238, n=21
  2025-08: mean_close=760.917619, n=21
  2025-09: mean_close=755.300000, n=21
  2025-10: mean_close=721.507500, n=22
  2025-11: mean_close=617.005526, n=19
  2025-12: mean_close=656.704091, n=22
  2026-01: mean_close=647.436316, n=19
  2026-02: mean_close=659.124211, n=19

AVGO
  2021-01: mean_close=35.275947, n=19
  2021-02: mean_close=37.843632, n=19
  2021-03: mean_close=36.718565, n=23
  2021-04: mean_close=37.952762, n=21
  2021-05: mean_close=35.441550, n=20
  2021-06: mean_close=37.698682, n=22
  2021-07: mean_close=38.690667, n=21
  2021-08: mean_close=39.512500, n=22
  2021-09: mean_close=40.968667, n=21
  2021-10: mean_close=41.789476, n=21
  2021-11: mean_close=47.017476, n=21
  2021-12: mean_close=53.858381, n=21
  2022-01: mean_close=50.995150, n=20
  2022-02: mean_close=50.587526, n=19
  2022-03: mean_close=52.075130, n=23
  2022-04: mean_close=51.237050, n=20
  2022-05: mean_close=49.080000, n=21
  2022-06: mean_close=45.033571, n=21
  2022-07: mean_close=42.745750, n=20
  2022-08: mean_close=46.491870, n=23
  2022-09: mean_close=41.774190, n=21
  2022-10: mean_close=38.222333, n=21
  2022-11: mean_close=43.347750, n=20
  2022-12: mean_close=48.166429, n=21
  2023-01: mean_close=51.224850, n=20
  2023-02: mean_close=53.097158, n=19
  2023-03: mean_close=56.442435, n=23
  2023-04: mean_close=56.679368, n=19
  2023-05: mean_close=60.249714, n=21
  2023-06: mean_close=77.798048, n=21
  2023-07: mean_close=83.258000, n=20
  2023-08: mean_close=81.099174, n=23
  2023-09: mean_close=79.149650, n=20
  2023-10: mean_close=80.596318, n=22
  2023-11: mean_close=88.642619, n=21
  2023-12: mean_close=100.782053, n=19
  2024-01: mean_close=109.710238, n=21
  2024-02: mean_close=121.636600, n=20
  2024-03: mean_close=127.246150, n=20
  2024-04: mean_close=126.944864, n=22
  2024-05: mean_close=131.390818, n=22
  2024-06: mean_close=151.567167, n=18
  2024-07: mean_close=159.392095, n=21
  2024-08: mean_close=152.726667, n=21
  2024-09: mean_close=160.501053, n=19
  2024-10: mean_close=173.816957, n=23
  2024-11: mean_close=166.792500, n=20
  2024-12: mean_close=202.405263, n=19
  2025-01: mean_close=226.257895, n=19
  2025-02: mean_close=220.051579, n=19
  2025-03: mean_close=184.306500, n=20
  2025-04: mean_close=173.090526, n=19
  2025-05: mean_close=221.043333, n=21
  2025-06: mean_close=254.385000, n=20
  2025-07: mean_close=280.943636, n=22
  2025-08: mean_close=299.095714, n=21
  2025-09: mean_close=336.576842, n=19
  2025-10: mean_close=349.061364, n=22
  2025-11: mean_close=356.941667, n=18
  2025-12: mean_close=364.428095, n=21
  2026-01: mean_close=337.852500, n=20
  2026-02: mean_close=328.867368, n=19

ORCL
  2021-01: mean_close=53.811579, n=19
  2021-02: mean_close=54.983158, n=19
  2021-03: mean_close=60.177391, n=23
  2021-04: mean_close=67.955714, n=21
  2021-05: mean_close=70.973000, n=20
  2021-06: mean_close=72.279545, n=22
  2021-07: mean_close=79.089524, n=21
  2021-08: mean_close=81.889091, n=22
  2021-09: mean_close=81.270952, n=21
  2021-10: mean_close=87.687143, n=21
  2021-11: mean_close=87.030952, n=21
  2021-12: mean_close=84.861905, n=21
  2022-01: mean_close=77.920500, n=20
  2022-02: mean_close=71.851579, n=19
  2022-03: mean_close=72.609565, n=23
  2022-04: mean_close=72.449000, n=20
  2022-05: mean_close=64.659524, n=21
  2022-06: mean_close=62.976000, n=20
  2022-07: mean_close=66.407000, n=20
  2022-08: mean_close=70.800000, n=23
  2022-09: mean_close=63.240476, n=21
  2022-10: mean_close=62.370952, n=21
  2022-11: mean_close=72.900476, n=21
  2022-12: mean_close=74.868095, n=21
  2023-01: mean_close=81.791500, n=20
  2023-02: mean_close=82.440526, n=19
  2023-03: mean_close=82.004783, n=23
  2023-04: mean_close=89.581053, n=19
  2023-05: mean_close=93.921818, n=22
  2023-06: mean_close=110.383810, n=21
  2023-07: mean_close=112.009500, n=20
  2023-08: mean_close=111.355217, n=23
  2023-09: mean_close=109.565789, n=19
  2023-10: mean_close=101.589545, n=22
  2023-11: mean_close=108.995714, n=21
  2023-12: mean_close=103.968421, n=19
  2024-01: mean_close=104.089524, n=21
  2024-02: mean_close=109.337500, n=20
  2024-03: mean_close=117.852105, n=19
  2024-04: mean_close=116.117273, n=22
  2024-05: mean_close=116.406818, n=22
  2024-06: mean_close=130.110556, n=18
  2024-07: mean_close=137.796818, n=22
  2024-08: mean_close=132.306818, n=22
  2024-09: mean_close=156.186316, n=19
  2024-10: mean_close=170.124783, n=23
  2024-11: mean_close=182.369000, n=20
  2024-12: mean_close=172.697143, n=21
  2025-01: mean_close=164.112632, n=19
  2025-02: mean_close=170.538421, n=19
  2025-03: mean_close=149.040952, n=21
  2025-04: mean_close=132.186500, n=20
  2025-05: mean_close=155.173810, n=21
  2025-06: mean_close=193.512632, n=19
  2025-07: mean_close=238.304091, n=22
  2025-08: mean_close=242.457619, n=21
  2025-09: mean_close=278.464500, n=20
  2025-10: mean_close=285.398696, n=23
  2025-11: mean_close=223.885789, n=19
  2025-12: mean_close=199.379048, n=21
  2026-01: mean_close=185.747500, n=20
  2026-02: mean_close=151.121111, n=18

SPY
  2021-01: mean_close=345.159521, n=19
  2021-02: mean_close=354.462679, n=19
  2021-03: mean_close=357.768065, n=23
  2021-04: mean_close=381.169376, n=21
  2021-05: mean_close=384.235400, n=20
  2021-06: mean_close=391.806314, n=22
  2021-07: mean_close=404.729086, n=21
  2021-08: mean_close=414.154800, n=22
  2021-09: mean_close=413.868657, n=21
  2021-10: mean_close=415.788138, n=21
  2021-11: mean_close=436.818614, n=21
  2021-12: mean_close=438.211718, n=22
  2022-01: mean_close=428.547300, n=20
  2022-02: mean_close=415.242984, n=19
  2022-03: mean_close=411.446691, n=23
  2022-04: mean_close=413.245826, n=19
  2022-05: mean_close=377.750856, n=18
  2022-06: mean_close=365.910674, n=19
  2022-07: mean_close=365.615700, n=20
  2022-08: mean_close=391.209473, n=22
  2022-09: mean_close=360.311220, n=20
  2022-10: mean_close=348.798124, n=21
  2022-11: mean_close=368.175100, n=20
  2022-12: mean_close=368.465933, n=21
  2023-01: mean_close=373.716000, n=20
  2023-02: mean_close=386.092632, n=19
  2023-03: mean_close=375.764270, n=23
  2023-04: mean_close=391.447253, n=19
  2023-05: mean_close=394.407109, n=22
  2023-06: mean_close=414.991152, n=21
  2023-07: mean_close=431.617100, n=20
  2023-08: mean_close=427.082861, n=23
  2023-09: mean_close=422.967860, n=20
  2023-10: mean_close=409.405073, n=22
  2023-11: mean_close=428.999229, n=21
  2023-12: mean_close=452.155300, n=20
  2024-01: mean_close=464.464752, n=21
  2024-02: mean_close=485.625300, n=20
  2024-03: mean_close=502.186300, n=20
  2024-04: mean_close=496.826073, n=22
  2024-05: mean_close=509.669255, n=22
  2024-06: mean_close=528.304274, n=19
  2024-07: mean_close=541.025982, n=22
  2024-08: mean_close=535.559618, n=22
  2024-09: mean_close=550.558725, n=20
  2024-10: mean_close=568.140691, n=23
  2024-11: mean_close=582.354800, n=20
  2024-12: mean_close=591.141833, n=21
  2025-01: mean_close=588.514400, n=20
  2025-02: mean_close=595.022584, n=19
  2025-03: mean_close=560.281686, n=21
  2025-04: mean_close=531.042635, n=17
  2025-05: mean_close=573.997733, n=21
  2025-06: mean_close=596.650785, n=20
  2025-07: mean_close=623.760500, n=22
  2025-08: mean_close=635.474071, n=21
  2025-09: mean_close=653.716395, n=21
  2025-10: mean_close=669.369643, n=23
  2025-11: mean_close=670.427126, n=19
  2025-12: mean_close=682.334200, n=22
  2026-01: mean_close=690.494500, n=20
  2026-02: mean_close=687.455263, n=19

AU0
  2021-01: mean_close=391.111000, n=20
  2021-02: mean_close=380.574667, n=15
  2021-03: mean_close=363.830435, n=23
  2021-04: mean_close=371.269524, n=21
  2021-05: mean_close=387.001111, n=18
  2021-06: mean_close=379.984762, n=21
  2021-07: mean_close=378.058182, n=22
  2021-08: mean_close=373.893636, n=22
  2021-09: mean_close=372.504000, n=20
  2021-10: mean_close=369.637500, n=16
  2021-11: mean_close=375.625455, n=22
  2021-12: mean_close=369.743478, n=23
  2022-01: mean_close=373.520000, n=19
  2022-02: mean_close=383.390000, n=16
  2022-03: mean_close=398.089091, n=22
  2022-04: mean_close=401.855789, n=19
  2022-05: mean_close=399.707368, n=19
  2022-06: mean_close=396.650476, n=21
  2022-07: mean_close=378.797143, n=21
  2022-08: mean_close=389.152174, n=23
  2022-09: mean_close=386.687619, n=21
  2022-10: mean_close=391.782500, n=16
  2022-11: mean_close=402.165455, n=22
  2022-12: mean_close=406.080909, n=22
  2023-01: mean_close=416.175000, n=16
  2023-02: mean_close=413.763000, n=20
  2023-03: mean_close=428.471304, n=23
  2023-04: mean_close=444.856842, n=19
  2023-05: mean_close=450.729000, n=20
  2023-06: mean_close=450.074000, n=20
